年/月,2023/03,2023/03,2023/06,2023/06,2023/09,2023/09,2023/12,2023/12,,,,
季別,1,1,2,2,3,3,4,4,,,,
合併(Y/N),Y,Y,Y,Y,Y,Y,Y,Y,,,,
單季(Q)/單半年(H),累季,Q,累季,Q,累季,Q,累季,Q,,,,
月份,3,3,6,6,9,9,12,12,,,,
幣別,NTD,NTD,NTD,NTD,NTD,NTD,NTD,NTD,,,,
  保留盈餘,"2,773,288,070","2,773,288,070","2,877,310,603","2,877,310,603","3,010,532,799","3,010,532,799","3,158,030,792","3,158,030,792",,,,
    國外營運機構財務報表換算之兌換差額,"-16,823,767","-16,823,767","-9,862,739","-9,862,739","18,198,873","18,198,873","-25,316,769","-25,316,769",,,,
    透過其他綜合損益按公允價值衡量之金融資產未實現損益,"-8,221,159","-8,221,159","-8,812,431","-8,812,431","-10,609,427","-10,609,427","-4,099,928","-4,099,928",,,,
    指定按公允價值衡量之金融負債信用風險變動影響數,0,0,0,0,0,0,0,0,,,,
    確定福利計畫再衡量數,0,0,0,0,0,0,0,0,,,,
    避險工具損益,"1,451,001","1,451,001","1,446,807","1,446,807","1,448,219","1,448,219","1,395,875","1,395,875",,,,
    不動產重估增值,0,0,0,0,0,0,0,0,,,,
    與待出售非流動資產直接相關之權益,0,0,0,0,0,0,0,0,,,,
    員工未賺得酬勞,"-675,338","-675,338","-548,037","-548,037","-420,735","-420,735",-293434,-293434,,,,
    股東權益其他調整項,0,0,0,0,0,0,0,0,,,,
  其他權益,"-24,269,263","-24,269,263","-17,776,400","-17,776,400","8,616,930","8,616,930","-28,314,256","-28,314,256",,,,
  庫藏股票帳面值,0,0,0,0,0,0,0,0,,,,
母公司股東權益合計,"3,078,233,958","3,078,233,958","3,188,750,455","3,188,750,455","3,348,349,657","3,348,349,657","3,458,913,627","3,458,913,627",,,,
共同控制下前手權益,0,0,0,0,0,0,0,0,,,,
合併前非屬共同控制股權,0,0,0,0,0,0,0,0,,,,
非控制權益,"14,663,640","14,663,640","16,717,744","16,717,744","24,468,450","24,468,450","24,349,220","24,349,220",,,,
股東權益總額,"3,092,897,598","3,092,897,598","3,205,468,199","3,205,468,199","3,372,818,107","3,372,818,107","3,483,262,847","3,483,262,847",,,,
負債及股東權益總額,"5,045,844,348","5,045,844,348","5,149,465,045","5,149,465,045","5,484,556,381","5,484,556,381","5,532,371,215","5,532,371,215",,,,
,,,,,,,,,,,,
  營業收入毛額,"508,632,973","508,632,973","989,474,227","480,841,254","1,536,206,985","546,732,758","2,161,735,841","625,528,856",,,,
  營收－租金收入,0,0,0,0,0,0,0,0,,,,
  營收－處分土地收入,0,0,0,0,0,0,0,0,,,,
  營收－利息收入,0,0,0,0,0,0,0,0,,,,
  營收－處分投資收入,0,0,0,0,0,0,0,0,,,,
  營收－投資收益,0,0,0,0,0,0,0,0,,,,
  退回及折讓,0,0,0,0,0,0,0,0,,,,
營業收入淨額,"508,632,973","508,632,973","989,474,227","480,841,254","1,536,206,985","546,732,758","2,161,735,841","625,528,856",,,,
  銷貨成本,"222,132,581","222,132,581","442,773,988","220,641,407","692,864,282","250,090,294","986,625,213","293,760,931",,,,
  成本－租金成本,0,0,0,0,0,0,0,0,,,,
  成本－出售土地,0,0,0,0,0,0,0,0,,,,
  成本－利息支出,0,0,0,0,0,0,0,0,,,,
  成本－處分投資成本,0,0,0,0,0,0,0,0,,,,
  成本－投資損失,0,0,0,0,0,0,0,0,,,,
營業成本,"222,132,581","222,132,581","442,773,988","220,641,407","692,864,282","250,090,294","986,625,213","293,760,931",,,,
營業毛利,"286,500,392","286,500,392","546,700,239","260,199,847","843,342,703","296,642,464","1,175,110,628","331,767,925",,,,
聯屬公司已（未）實現銷貨利益,0,0,0,0,0,0,0,0,,,,
已實現銷貨毛利,"286,500,392","286,500,392","546,700,239","260,199,847","843,342,703","296,642,464","1,175,110,628","331,767,925",,,,
營業費用,"55,309,344","55,309,344","113,503,904","58,194,560","182,212,695","68,708,791","253,833,716","71,621,021",,,,
  推銷費用,"2,676,360","2,676,360","5,042,253","2,365,893","7,615,158","2,572,905","10,590,705","2,975,547",,,,
  管理費用,"13,475,948","13,475,948","27,639,337","14,163,389","42,637,461","14,998,124","60,872,841","18,235,380",,,,
  研究發展費,"39,157,036","39,157,036","80,822,314","41,665,278","131,960,076","51,137,762","182,370,170","50,410,094",,,,
  其他費用,0,0,0,0,0,0,0,0,,,,
  預期信用減損（損失）利益－營業費用,0,0,0,0,0,0,0,0,,,,
其他收益及費損淨額,47109,47109,-135,-47244,131095,131230,188694,57599,,,,
營業利益,"231,238,157","231,238,157","433,196,200","201,958,043","661,261,103","228,064,903","921,465,606","260,204,503",,,,
  利息收入,"13,617,818","13,617,818","27,289,839","13,672,021","42,885,113","15,595,274","60,293,901","17,408,788",,,,
  租金收入,0,0,0,0,0,0,0,0,,,,
  權利金收入,0,0,0,0,0,0,0,0,,,,
  股利收入,"72,021","72,021","309,672","237,651",0,"-309,672","464,094","464,094",,,,
  廉價購買收益,0,0,0,0,0,0,0,0,,,,
  違約金收入,0,0,0,0,0,0,0,0,,,,
  預期信用減損利益,0,0,0,0,0,0,0,0,,,,
  沖銷逾期應付帳款利益,0,0,0,0,0,0,0,0,,,,
  補助收益,0,0,0,0,0,0,0,0,,,,
  其他收入－其他,"15,889","15,889","15,890",1,"403,727","387,837","15,890","-387,837",,,,
其他收入,"13,705,728","13,705,728","27,615,401","13,909,673","43,288,840","15,673,439","60,773,885","17,485,045",,,,
  處分不動產、廠房及設備利益,0,0,0,0,0,0,0,0,,,,
  處分投資利益,0,0,0,0,0,0,"15,758","15,758",,,,
  外幣兌換利益,0,0,0,0,0,0,0,0,,,,
  透過損益按公允價值衡量之金融資產（負債）利益,"1,170,738","1,170,738","2,833,908","1,663,170","3,982,692","1,148,784","6,523,084","2,540,392",,,,
  按攤銷後成本衡量之金融負債利益,0,0,0,0,0,0,0,0,,,,
  避險工具之利益,0,0,0,0,0,0,0,0,,,,
  資產評價利益,0,0,0,0,0,0,0,0,,,,
  金融資產減損迴轉利益,0,0,0,0,0,0,0,0,,,,
  資產減損迴轉利益,0,0,0,0,0,0,0,0,,,,
    不動產、廠房及設備減損迴轉利益,0,0,0,0,0,0,0,0,,,,
    無形資產減損迴轉利益,0,0,0,0,0,0,0,0,,,,
    其他減損迴轉利益,0,0,0,0,0,0,0,0,,,,
  賠償收入,0,0,0,0,0,0,0,0,,,,
  買回公司債利益,0,0,0,0,0,0,0,0,,,,
  停工損失,0,0,0,0,0,0,0,0,,,,
  合約損失,0,0,0,0,0,0,0,0,,,,
  賠償損失,0,0,0,0,0,0,0,0,,,,
  處分不動產、廠房及設備損失,0,0,0,0,0,0,0,0,,,,
  處分投資損失,135693,135693,257553,121860,372631,115078,473897,101266,,,,
  外幣兌換損失,44363,44363,"1,047,177","1,002,814","1,838,720","791,543",2685484,"846,764",,,,
  透過損益按公允價值衡量之金融資產（負債）損失,0,0,0,0,0,0,0,0,,,,
  按攤銷後成本衡量之金融負債損失,0,0,0,0,0,0,0,0,,,,
  避險工具之損失,0,0,0,0,0,0,0,0,,,,
  資產評價損失,0,0,0,0,0,0,0,0,,,,
  金融資產減損損失,0,0,0,0,0,0,0,0,,,,
  資產減損損失,0,0,0,0,0,0,0,0,,,,
    不動產、廠房及設備減損損失,0,0,0,0,0,0,0,0,,,,
    無形資產減損損失,0,0,0,0,0,0,0,0,,,,
    其他減損損失,0,0,0,0,0,0,0,0,,,,
  買回公司債損失,0,0,0,0,0,0,0,0,,,,
  其他利益及損失－其他,"271,397","271,397","425,212","153,815","351,001","-74,211","932,379","581,378",,,,
其他利益及損失,"1,262,079","1,262,079","1,954,390","692,311","2,122,342","167,952","4,311,840","2,189,498",,,,
  利息支出(不含租賃負債),"4,233,170","4,233,170","8,631,267","4,398,097","13,250,897","4,619,630","17,947,037","4,696,140",,,,
  利息支出－租賃負債,"94,049","94,049","190,505","96,456","286,653","96,148","382,041","95,388",,,,
  負債性特別股股息,0,0,0,0,0,0,0,0,,,,
  財務成本－其他,"-1,363,533","-1,363,533","-2,852,931","-1,489,398","-4,456,787","-1,603,856","-6,329,718","-1,872,931",,,,
財務成本,"2,963,686","2,963,686","5,968,841","3,005,155","9,080,763","3,111,922","11,999,360","2,918,597",,,,
採用權益法認列之關聯企業及合資利益之份額,1038817,1038817,"2,173,004",1134187,"3,339,974","1,166,970","4,655,098","1,315,124",,,,
採用權益法認列之關聯企業及合資損失之份額,-,-,-,-,-,-,-,-,,,,
採權益法之關聯企業及合資損益之份額,"1,038,817","1,038,817","2,173,004","1,134,187","3,339,974","1,166,970","4,655,098","1,315,124",,,,
